,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate
0,Cuiabá,13.0,Ceará,1.1021413092276782,1.0814234575887787,36.48,34.42,29.1,23.1,21.73,11.2
1,Santos,13.0,Bragantino,1.354432692472955,1.3081630446381238,38.27,35.59,26.14,20.09,18.48,7.13
2,Atlético-MG,13.0,Flamengo,1.4866970361079912,1.4750407732969077,37.97,37.57,24.46,17.77,17.72,5.14
3,Corinthians,13.0,Goiás,1.229681024849934,0.9706353101926836,42.07,29.25,28.68,26.72,18.68,11.34
4,Coritiba,13.0,Athletico-PR,1.2579749882106124,1.0734315595928263,40.41,31.41,28.17,24.55,18.82,9.62
5,Internacional,13.0,Botafogo,1.4710031557081387,1.2482087560313557,42.6,32.06,25.33,22.25,16.13,6.33
6,Fortaleza,13.0,América-MG,1.4504563298722248,1.3251021887716665,40.58,34.27,25.15,20.95,16.95,6.04
7,Atlético-GO,13.0,Juventude,1.5087475091616123,1.193728715776134,44.71,29.75,25.54,23.32,14.85,6.59
8,Fluminense,13.0,Avaí,1.4254327267910973,1.1369044652828375,44.25,29.35,26.4,24.66,15.71,7.91
9,São Paulo,13.0,Palmeiras,1.2136909203156079,1.6366303412900702,28.69,46.96,24.34,13.92,23.72,5.62
