,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,18,16,5,11,11,1
1,Corinthians,15,13,9,4,8,2
2,São Paulo,12,12,8,4,9,3
3,Atlético-MG,12,11,7,4,6,4
4,Botafogo,12,11,8,3,9,5
5,Santos,11,10,5,5,7,6
6,Fluminense,11,7,6,1,7,7
7,Coritiba,10,11,10,1,7,8
8,Internacional,10,7,7,0,7,9
9,América-MG,10,8,8,0,7,10
10,Avaí,10,8,10,-2,7,11
11,Flamengo,9,7,6,1,5,12
12,Bragantino,9,9,9,0,5,13
13,Athletico-PR,9,6,11,-5,9,14
14,Cuiabá,8,6,9,-3,5,15
15,Ceará,8,10,13,-3,3,16
16,Goiás,8,7,10,-3,7,17
17,Atlético-GO,6,5,10,-5,5,18
18,Juventude,6,7,13,-6,5,19
19,Fortaleza,2,3,9,-6,2,20
