,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,São Paulo,7.0,Vasco,1.5191766218287261,0.9867206897579188,50.02,24.52,25.45,29.34,13.87,7.98,37.32,21.85,59.17
1,Santos,7.0,Palmeiras,1.0637612933453378,1.2336231155583315,31.86,40.3,27.84,18.91,24.33,10.32,29.23,34.65,63.879999999999995
2,Coritiba,7.0,Atlético-MG,1.225249521880706,1.113254141746895,38.4,33.85,27.75,23.06,19.75,9.46,32.519999999999996,29.21,61.73
3,Grêmio,7.0,Internacional,1.5548930280213331,1.2694944277212084,44.09,31.11,24.8,22.47,15.25,6.22,28.689999999999998,21.47,50.16
4,Bragantino,7.0,Athletico-PR,1.3875601336690044,1.2896537074573113,39.15,34.96,25.9,20.23,18.27,6.88,27.11,25.15,52.26
5,Bahia,7.0,Goiás,1.6651961472792705,1.3689292317887491,44.75,31.5,23.76,20.43,14.11,4.69,25.12,18.8,43.92
6,Flamengo,7.0,Corinthians,1.8465830411802509,1.4842500063746615,46.45,31.14,22.41,19.24,12.38,3.49,22.729999999999997,15.870000000000001,38.599999999999994
7,América-MG,7.0,Fortaleza,1.5819360160053826,1.7253587943271818,35.7,41.23,23.07,14.07,16.41,3.6,17.67,20.01,37.68000000000001
8,Cruzeiro,7.0,Cuiabá,1.9000016956209969,1.6101760624958366,44.45,33.17,22.38,16.97,11.88,2.79,19.759999999999998,14.670000000000002,34.43
9,Botafogo,7.0,Fluminense,2.077436765751548,1.639117945569011,48.14,31.34,20.52,16.96,10.47,2.21,19.17,12.68,31.85
