,clube,xG_mean,xG_total
0,Fortaleza,1.7097479341211217,13.677983472968977
1,Palmeiras,1.6590727759805342,13.272582207844277
2,Flamengo,1.5433789522930543,12.347031618344436
3,Cruzeiro,1.5431802131512706,12.345441705210163
4,Bahia,1.4428162109220504,11.542529687376405
5,Fluminense,1.382691022739668,11.06152818191734
6,Botafogo,1.3816699361876588,11.053359489501275
7,Bragantino,1.31418021607025,10.513441728562007
8,Atlético-MG,1.3004967208779499,10.403973767023595
9,Athletico-PR,1.2228624627481013,9.782899701984812
10,São Paulo,1.1955504583665926,9.564403666932744
11,América-MG,1.1519918703830174,9.215934963064138
12,Grêmio,1.1505260845636172,9.204208676508939
13,Cuiabá,1.1375729858766297,9.10058388701304
14,Internacional,1.113829045787695,8.910632366301558
15,Goiás,1.035071712489456,8.280573699915648
16,Santos,1.0096098970957705,8.076879176766166
17,Corinthians,0.9900405047132879,7.9203240377063
18,Coritiba,0.9393875943696107,7.515100754956885
19,Vasco,0.9309898603045841,7.447918882436673
